Timestamp,Energy_Consumption,Temperature,Humidity
2025-01-03 16:00,3.38,31.0,56.4
2025-01-03 17:00,3.79,23.0,48.8
2025-01-03 18:00,2.63,14.8,47.1
2025-01-03 19:00,3.47,20.0,71.6
2025-01-03 20:00,2.94,15.6,55.3
2025-01-03 21:00,2.12,23.2,63.5
2025-01-03 22:00,2.9,25.1,59.5
2025-01-03 23:00,3.82,33.4,64.8
2025-01-04 00:00,2.54,26.6,60.8
2025-01-04 01:00,3.8,23.9,47.2
2025-01-04 02:00,0.43,29.1,70.0
2025-01-04 03:00,3.17,13.9,55.1
2025-01-04 04:00,2.56,26.2,44.4
2025-01-04 05:00,2.23,28.9,55.7
2025-01-04 06:00,2.52,17.6,75.0
2025-01-04 07:00,0.84,30.7,68.5
2025-01-04 08:00,2.23,26.7,56.5
2025-01-04 09:00,2.67,22.9,56.5
2025-01-04 10:00,3.55,28.2,56.8
2025-01-04 11:00,1.93,36.4,80.8
2025-01-04 12:00,1.68,25.9,63.8
2025-01-04 13:00,1.9,26.2,64.3
2025-01-04 14:00,3.02,22.7,70.3
2025-01-04 15:00,2.53,20.8,62.4
2025-01-04 16:00,1.83,29.2,57.4
2025-01-04 17:00,2.64,20.7,58.0
2025-01-04 18:00,2.29,25.4,59.3
2025-01-04 19:00,2.97,22.6,59.6
2025-01-04 20:00,1.62,27.4,67.3
2025-01-04 21:00,1.9,26.7,60.5
2025-01-04 22:00,1.84,30.2,67.3
2025-01-04 23:00,0.96,22.4,59.2
2025-01-05 00:00,2.36,23.7,60.8
2025-01-05 01:00,2.32,20.1,40.0
2025-01-05 02:00,2.1,22.8,69.2
2025-01-05 03:00,1.9,26.9,63.5
2025-01-05 04:00,0.94,28.8,70.0
2025-01-05 05:00,1.73,20.4,31.0
2025-01-05 06:00,1.78,29.3,80.9
2025-01-05 07:00,1.4,31.8,58.6
2025-01-05 08:00,1.91,27.1,71.1
2025-01-05 09:00,2.35,34.4,49.6
2025-01-05 10:00,3.53,21.1,66.1
2025-01-05 11:00,2.16,18.8,49.5
2025-01-05 12:00,2.22,16.1,53.8
2025-01-05 13:00,1.95,32.5,79.1
2025-01-05 14:00,0.47,28.3,58.1
2025-01-05 15:00,1.98,24.7,62.2
2025-01-05 16:00,2.05,26.4,68.7
2025-01-05 17:00,3.97,19.4,65.0
2025-01-05 18:00,1.85,37.2,61.5
2025-01-05 19:00,2.24,25.6,63.6
2025-01-05 20:00,1.98,25.5,84.0
2025-01-05 21:00,1.07,28.6,59.4
2025-01-05 22:00,2.92,27.4,62.0
2025-01-05 23:00,2.62,26.1,70.5
2025-01-06 00:00,2.65,21.0,71.1
2025-01-06 01:00,1.3,27.4,71.9
2025-01-06 02:00,3.16,34.4,66.4
2025-01-06 03:00,0.92,31.7,48.6
2025-01-06 04:00,2.52,33.0,76.3
2025-01-06 05:00,3.81,22.4,48.5
2025-01-06 06:00,1.28,20.1,63.0
2025-01-06 07:00,1.63,24.4,52.5
2025-01-06 08:00,2.17,25.3,59.4
2025-01-06 09:00,1.7,30.5,63.3
2025-01-06 10:00,0.88,16.5,63.2
2025-01-06 11:00,2.19,32.6,64.2
2025-01-06 12:00,1.3,24.2,76.1
2025-01-06 13:00,2.54,22.9,64.5
2025-01-06 14:00,1.44,19.9,57.6
2025-01-06 15:00,3.43,16.7,69.6
2025-01-06 16:00,1.58,29.1,71.9
2025-01-06 17:00,1.97,25.4,47.7
2025-01-06 18:00,2.9,18.6,66.0
2025-01-06 19:00,1.28,18.5,67.0
2025-01-06 20:00,2.46,23.3,57.0
2025-01-06 21:00,3.35,33.3,73.8
2025-01-06 22:00,1.03,23.7,58.5
2025-01-06 23:00,2.49,17.5,61.3
2025-01-07 00:00,2.57,23.8,58.3
2025-01-07 01:00,3.01,23.6,60.2
2025-01-07 02:00,1.41,11.5,49.0
2025-01-07 03:00,1.36,24.7,45.6
2025-01-07 04:00,2.86,23.8,75.9
2025-01-07 05:00,2.7,28.5,51.5
2025-01-07 06:00,2.68,34.2,50.1
2025-01-07 07:00,2.78,30.6,38.5
2025-01-07 08:00,1.98,23.7,53.6
2025-01-07 09:00,2.73,19.5,46.8
2025-01-07 10:00,2.8,37.9,76.4
2025-01-07 11:00,2.02,25.3,70.1
2025-01-07 12:00,4.1,25.1,53.1
2025-01-07 13:00,3.01,24.9,82.5
2025-01-07 14:00,1.69,26.0,69.8
2025-01-07 15:00,3.19,24.3,56.8
2025-01-07 16:00,1.91,22.1,35.0
2025-01-07 17:00,3.34,22.3,82.9
2025-01-07 18:00,3.65,24.8,46.1
2025-01-07 19:00,2.09,22.3,43.5
2025-01-07 20:00,3.53,21.4,70.2
2025-01-07 21:00,3.11,25.5,84.4
2025-01-07 22:00,3.45,23.7,73.8
2025-01-07 23:00,4.33,32.5,65.6
2025-01-08 00:00,2.63,11.7,65.9
2025-01-08 01:00,2.24,30.5,68.5
2025-01-08 02:00,2.15,31.2,67.6
2025-01-08 03:00,2.22,14.6,62.8
2025-01-08 04:00,2.82,23.3,61.0
2025-01-08 05:00,3.17,23.1,59.4
2025-01-08 06:00,3.13,18.0,52.5
2025-01-08 07:00,3.58,21.1,57.2
2025-01-08 08:00,2.94,19.4,43.1
2025-01-08 09:00,4.11,33.8,59.0
2025-01-08 10:00,2.74,29.7,50.1
2025-01-08 11:00,5.14,31.4,49.0
2025-01-08 12:00,3.47,28.6,61.8
2025-01-08 13:00,2.29,19.4,73.9
2025-01-08 14:00,2.13,22.4,69.2
2025-01-08 15:00,3.37,27.4,44.3
2025-01-08 16:00,2.81,18.9,50.1
2025-01-08 17:00,3.57,28.6,69.4
2025-01-08 18:00,3.38,23.8,50.2
2025-01-08 19:00,2.94,23.1,57.8
2025-01-08 20:00,2.32,28.6,65.5
2025-01-08 21:00,1.79,27.2,50.3
2025-01-08 22:00,2.64,23.2,61.1
2025-01-08 23:00,3.68,30.8,46.7
2025-01-09 00:00,3.17,19.6,54.0
2025-01-09 01:00,1.99,28.1,63.2
2025-01-09 02:00,3.13,28.0,44.1
2025-01-09 03:00,3.29,23.5,64.4
2025-01-09 04:00,2.27,26.6,59.8
2025-01-09 05:00,3.09,18.7,65.5
2025-01-09 06:00,3.01,29.6,62.2
2025-01-09 07:00,2.04,24.1,73.6
2025-01-09 08:00,3.23,22.4,61.3
2025-01-09 09:00,3.38,30.2,55.7
2025-01-09 10:00,3.79,21.5,61.2
2025-01-09 11:00,3.75,18.0,65.4
2025-01-09 12:00,1.8,17.2,60.5
2025-01-09 13:00,2.14,28.0,60.4
2025-01-09 14:00,3.28,18.6,53.0
2025-01-09 15:00,3.27,33.8,53.4
2025-01-09 16:00,3.26,14.6,46.0
2025-01-09 17:00,5.91,33.5,77.5
2025-01-09 18:00,3.27,26.1,47.6
2025-01-09 19:00,3.7,24.5,53.1
2025-01-09 20:00,3.54,22.3,52.8
2025-01-09 21:00,3.28,27.0,68.9
2025-01-09 22:00,2.49,24.8,57.1
2025-01-09 23:00,3.33,30.5,72.5
2025-01-10 00:00,2.09,25.6,53.3
2025-01-10 01:00,2.5,25.8,62.8
2025-01-10 02:00,2.28,23.2,51.6
2025-01-10 03:00,2.71,24.7,81.5
2025-01-10 04:00,4.48,26.5,48.1
2025-01-10 05:00,1.11,16.4,63.1
2025-01-10 06:00,3.14,18.3,66.3
2025-01-10 07:00,1.28,28.7,64.1
2025-01-10 08:00,2.17,25.9,58.1
2025-01-10 09:00,3.4,24.1,58.7
2025-01-10 10:00,2.56,25.1,60.4
2025-01-10 11:00,1.62,26.7,58.5
2025-01-10 12:00,1.89,22.3,69.6
2025-01-10 13:00,2.99,21.1,82.1
2025-01-10 14:00,1.84,26.0,54.4
2025-01-10 15:00,2.57,20.1,46.3
2025-01-10 16:00,2.42,27.0,59.1
2025-01-10 17:00,1.84,16.5,85.8
2025-01-10 18:00,4.06,30.1,52.0
2025-01-10 19:00,2.83,27.4,76.4
2025-01-10 20:00,0.68,26.3,76.8
2025-01-10 21:00,2.43,29.9,54.5
2025-01-10 22:00,1.73,33.3,65.7
2025-01-10 23:00,2.93,30.1,76.3
2025-01-11 00:00,1.59,15.8,56.2
2025-01-11 01:00,2.12,18.6,58.0
2025-01-11 02:00,2.6,21.9,54.2
2025-01-11 03:00,2.87,25.1,49.9
2025-01-11 04:00,1.2,27.6,53.5
2025-01-11 05:00,1.88,21.4,47.8
2025-01-11 06:00,1.75,25.9,60.3
2025-01-11 07:00,1.6,21.2,52.3
2025-01-11 08:00,3.52,21.9,62.3
2025-01-11 09:00,2.42,18.0,44.4
2025-01-11 10:00,1.07,20.4,63.3
2025-01-11 11:00,2.8,18.2,68.3
2025-01-11 12:00,3.76,20.1,40.1
2025-01-11 13:00,2.88,30.3,63.7
2025-01-11 14:00,0.83,20.3,72.3
2025-01-11 15:00,1.65,38.2,47.9
2025-01-11 16:00,3.04,27.5,76.7
2025-01-11 17:00,1.45,25.9,64.2
2025-01-11 18:00,2.37,20.7,52.9
2025-01-11 19:00,2.63,28.5,59.4
2025-01-11 20:00,1.27,22.1,65.6
2025-01-11 21:00,1.96,25.6,60.8
2025-01-11 22:00,-0.41,37.8,65.4
2025-01-11 23:00,1.18,24.5,50.8
2025-01-12 00:00,1.8,30.7,61.7
2025-01-12 01:00,1.0,21.5,45.9
2025-01-12 02:00,3.31,24.8,58.9
2025-01-12 03:00,0.86,33.9,51.0
2025-01-12 04:00,1.66,21.9,52.6
2025-01-12 05:00,2.12,34.1,72.4
2025-01-12 06:00,3.17,28.5,70.9
2025-01-12 07:00,0.87,22.2,66.1
2025-01-12 08:00,2.96,28.2,49.1
2025-01-12 09:00,2.04,29.9,56.8
2025-01-12 10:00,1.26,28.1,72.1
2025-01-12 11:00,2.42,17.1,61.4
2025-01-12 12:00,2.22,21.4,83.2
2025-01-12 13:00,1.59,23.8,63.9
2025-01-12 14:00,2.14,24.6,61.9
2025-01-12 15:00,1.79,28.1,56.9
2025-01-12 16:00,2.2,25.9,61.3
2025-01-12 17:00,2.65,18.3,58.5
2025-01-12 18:00,3.4,26.9,67.1
2025-01-12 19:00,1.16,28.1,69.6
2025-01-12 20:00,3.87,27.8,52.1
2025-01-12 21:00,0.62,30.4,46.7
2025-01-12 22:00,2.08,29.2,41.6
2025-01-12 23:00,2.69,27.3,65.1
2025-01-13 00:00,2.46,24.6,49.0
2025-01-13 01:00,1.75,16.7,38.5
2025-01-13 02:00,2.1,27.1,63.9
2025-01-13 03:00,1.89,26.0,84.9
2025-01-13 04:00,1.83,26.4,59.9
2025-01-13 05:00,3.0,18.6,68.4
2025-01-13 06:00,2.63,19.6,60.8
2025-01-13 07:00,1.81,30.3,59.0
2025-01-13 08:00,3.1,24.8,69.2
2025-01-13 09:00,2.65,28.4,57.1
2025-01-13 10:00,3.08,25.1,62.7
2025-01-13 11:00,2.95,25.1,63.2
2025-01-13 12:00,1.8,29.7,53.3
2025-01-13 13:00,2.04,22.4,69.9
2025-01-13 14:00,3.11,25.5,58.3
2025-01-13 15:00,3.02,22.7,52.4
2025-01-13 16:00,2.53,22.8,65.4
2025-01-13 17:00,2.66,23.5,51.0
2025-01-13 18:00,3.61,26.1,60.3
2025-01-13 19:00,2.14,22.6,59.9
2025-01-13 20:00,3.07,31.3,70.9
2025-01-13 21:00,2.49,20.5,64.7
2025-01-13 22:00,2.5,24.1,59.7
2025-01-13 23:00,3.57,22.8,68.2
2025-01-14 00:00,3.37,32.2,73.9
2025-01-14 01:00,3.38,26.0,65.6
2025-01-14 02:00,3.79,30.2,60.1
2025-01-14 03:00,2.78,17.6,46.9
2025-01-14 04:00,3.33,26.3,49.3
2025-01-14 05:00,2.55,29.4,56.9
2025-01-14 06:00,3.08,25.4,53.9
2025-01-14 07:00,2.73,30.3,58.1
2025-01-14 08:00,2.92,22.4,60.6
2025-01-14 09:00,3.34,32.0,65.3
2025-01-14 10:00,2.22,36.5,59.3
2025-01-14 11:00,4.56,23.2,64.9
2025-01-14 12:00,2.1,22.8,60.6
2025-01-14 13:00,1.94,32.3,40.2
2025-01-14 14:00,3.85,32.9,50.6
2025-01-14 15:00,3.57,22.4,58.6
2025-01-14 16:00,3.44,22.9,47.9
2025-01-14 17:00,3.46,23.6,66.0
2025-01-14 18:00,2.95,18.3,75.3
2025-01-14 19:00,2.25,20.4,72.2
2025-01-14 20:00,3.04,20.0,57.9
2025-01-14 21:00,2.44,21.2,74.9
2025-01-14 22:00,3.77,24.8,61.5
2025-01-14 23:00,2.87,26.2,56.6
2025-01-15 00:00,2.33,32.8,53.9
2025-01-15 01:00,2.74,20.0,57.0
2025-01-15 02:00,3.33,29.9,56.1
2025-01-15 03:00,2.55,23.9,61.7
2025-01-15 04:00,2.34,24.8,61.6
2025-01-15 05:00,3.19,28.4,60.0
2025-01-15 06:00,3.19,19.4,64.4
2025-01-15 07:00,2.59,26.9,71.9
2025-01-15 08:00,2.61,25.8,69.5
2025-01-15 09:00,3.17,27.5,45.2
2025-01-15 10:00,1.82,26.4,34.5
2025-01-15 11:00,1.85,37.3,69.3
2025-01-15 12:00,2.39,21.8,46.3
2025-01-15 13:00,2.79,22.3,57.8
2025-01-15 14:00,3.2,21.9,48.3
2025-01-15 15:00,4.12,22.2,42.0
2025-01-15 16:00,3.62,21.8,65.4
2025-01-15 17:00,2.79,30.9,67.6
2025-01-15 18:00,2.89,32.1,54.2
2025-01-15 19:00,2.09,22.1,34.1
2025-01-15 20:00,2.87,20.8,54.5
2025-01-15 21:00,2.64,27.4,63.9
2025-01-15 22:00,3.11,22.2,45.2
2025-01-15 23:00,2.18,28.2,61.8
2025-01-16 00:00,3.24,26.0,59.8
2025-01-16 01:00,4.04,17.4,65.8
2025-01-16 02:00,2.71,32.7,61.2
2025-01-16 03:00,3.1,34.0,50.3
2025-01-16 04:00,3.31,21.9,72.0
2025-01-16 05:00,2.42,23.1,58.4
2025-01-16 06:00,2.9,26.4,59.7
2025-01-16 07:00,2.71,26.7,50.7
2025-01-16 08:00,2.76,28.3,55.6
2025-01-16 09:00,2.05,35.1,51.2
2025-01-16 10:00,2.66,24.1,58.3
2025-01-16 11:00,3.02,21.0,77.1
2025-01-16 12:00,3.76,18.1,46.3
2025-01-16 13:00,3.35,21.3,43.9
2025-01-16 14:00,4.28,24.8,74.7
2025-01-16 15:00,1.93,34.0,57.9
2025-01-16 16:00,3.22,22.4,53.3
2025-01-16 17:00,2.65,26.1,70.4
2025-01-16 18:00,4.23,24.9,53.9
2025-01-16 19:00,1.81,30.9,78.3
2025-01-16 20:00,1.77,37.6,66.8
2025-01-16 21:00,1.94,22.3,55.1
2025-01-16 22:00,0.7,22.6,81.6
2025-01-16 23:00,1.96,30.2,53.9
2025-01-17 00:00,1.75,28.4,67.4
2025-01-17 01:00,2.46,34.2,63.0
2025-01-17 02:00,2.59,27.9,73.0
2025-01-17 03:00,3.8,23.2,75.6
2025-01-17 04:00,3.04,28.0,60.3
2025-01-17 05:00,1.8,30.5,52.5
2025-01-17 06:00,1.52,29.1,64.6
2025-01-17 07:00,2.62,27.5,53.2
2025-01-17 08:00,1.15,30.3,80.1
2025-01-17 09:00,3.66,30.8,61.4
2025-01-17 10:00,3.12,31.9,56.3
2025-01-17 11:00,1.78,28.2,61.8
2025-01-17 12:00,0.77,24.2,46.5
2025-01-17 13:00,3.21,25.7,50.3
2025-01-17 14:00,2.02,31.0,72.0
2025-01-17 15:00,3.09,20.9,53.4
2025-01-17 16:00,0.82,26.8,49.5
2025-01-17 17:00,1.6,23.0,65.4
2025-01-17 18:00,2.07,25.1,71.9
2025-01-17 19:00,2.1,31.4,67.2
2025-01-17 20:00,1.69,26.0,70.0
2025-01-17 21:00,2.54,25.2,52.4
2025-01-17 22:00,1.18,18.2,45.8
2025-01-17 23:00,1.91,28.7,75.0
2025-01-18 00:00,2.12,28.2,56.8
2025-01-18 01:00,2.43,35.8,57.5
2025-01-18 02:00,2.58,23.5,73.3
2025-01-18 03:00,1.11,26.1,65.6
2025-01-18 04:00,0.78,26.2,64.6
2025-01-18 05:00,3.02,32.9,81.7
2025-01-18 06:00,2.27,24.5,53.6
2025-01-18 07:00,1.4,26.4,69.3
2025-01-18 08:00,3.24,28.0,60.6
2025-01-18 09:00,2.09,25.9,62.7
2025-01-18 10:00,2.95,22.8,75.3
2025-01-18 11:00,2.06,26.0,65.1
2025-01-18 12:00,3.66,30.4,65.4
2025-01-18 13:00,3.42,19.9,70.7
2025-01-18 14:00,1.82,25.7,56.4
2025-01-18 15:00,2.81,21.5,51.6
2025-01-18 16:00,2.55,31.0,49.6
2025-01-18 17:00,3.14,17.4,40.3
2025-01-18 18:00,1.28,22.2,80.6
2025-01-18 19:00,2.61,26.9,49.0
2025-01-18 20:00,2.92,32.8,57.8
2025-01-18 21:00,0.68,24.7,57.2
2025-01-18 22:00,1.15,22.2,63.1
2025-01-18 23:00,0.48,34.4,68.2
2025-01-19 00:00,1.91,17.8,68.6
2025-01-19 01:00,2.71,14.0,54.2
2025-01-19 02:00,3.36,27.2,58.3
2025-01-19 03:00,2.23,22.5,62.8
2025-01-19 04:00,3.49,19.9,57.5
2025-01-19 05:00,1.1,28.5,76.1
2025-01-19 06:00,0.86,26.2,64.9
2025-01-19 07:00,2.19,22.2,67.3
2025-01-19 08:00,2.56,18.6,66.6
2025-01-19 09:00,2.25,29.4,71.7
2025-01-19 10:00,0.64,28.3,61.8
2025-01-19 11:00,2.24,24.5,47.0
2025-01-19 12:00,1.29,34.2,64.0
2025-01-19 13:00,2.88,19.6,53.5
2025-01-19 14:00,2.66,17.4,54.7
2025-01-19 15:00,1.64,21.5,65.9
2025-01-19 16:00,2.0,24.8,72.4
2025-01-19 17:00,1.58,26.2,60.2
2025-01-19 18:00,2.4,23.8,63.1
2025-01-19 19:00,3.24,26.8,77.0
2025-01-19 20:00,1.7,18.7,62.4
2025-01-19 21:00,2.92,32.2,86.0
2025-01-19 22:00,2.11,24.6,65.7
2025-01-19 23:00,1.92,30.6,42.4
2025-01-20 00:00,2.49,26.7,67.5
2025-01-20 01:00,1.77,27.3,63.8
2025-01-20 02:00,2.17,27.8,72.9
2025-01-20 03:00,1.68,27.2,66.7
2025-01-20 04:00,4.23,28.2,58.6
2025-01-20 05:00,2.7,31.6,47.8
2025-01-20 06:00,2.14,26.0,57.9
2025-01-20 07:00,2.89,28.5,51.5
2025-01-20 08:00,2.64,24.6,54.2
2025-01-20 09:00,2.57,32.2,65.9
2025-01-20 10:00,3.26,21.6,76.7
2025-01-20 11:00,3.39,34.0,63.9
2025-01-20 12:00,2.38,24.8,48.0
2025-01-20 13:00,2.36,17.8,64.4
2025-01-20 14:00,2.61,25.6,72.0
2025-01-20 15:00,1.01,21.6,53.9
2025-01-20 16:00,1.65,29.2,58.7
2025-01-20 17:00,3.97,21.7,60.1
2025-01-20 18:00,4.21,22.8,52.2
2025-01-20 19:00,2.71,15.6,66.5
2025-01-20 20:00,3.38,22.7,58.8
2025-01-20 21:00,3.18,12.9,64.2
2025-01-20 22:00,5.4,17.1,51.1
2025-01-20 23:00,3.84,28.8,55.6
2025-01-21 00:00,2.85,28.9,67.2
2025-01-21 01:00,2.2,27.1,56.3
2025-01-21 02:00,1.69,20.2,77.3
2025-01-21 03:00,3.14,24.8,56.0
2025-01-21 04:00,2.38,25.0,62.2
2025-01-21 05:00,1.85,19.2,69.3
2025-01-21 06:00,2.48,32.5,45.8
2025-01-21 07:00,2.13,29.4,42.4
2025-01-21 08:00,4.35,23.9,44.7
2025-01-21 09:00,3.7,25.1,72.6
2025-01-21 10:00,2.99,26.0,54.5
2025-01-21 11:00,4.18,14.8,85.6
2025-01-21 12:00,3.06,23.8,54.4
2025-01-21 13:00,2.31,21.6,61.8
2025-01-21 14:00,4.21,20.0,75.4
2025-01-21 15:00,3.42,23.6,80.1
2025-01-21 16:00,2.16,34.0,80.6
2025-01-21 17:00,2.83,28.2,72.1
2025-01-21 18:00,2.27,22.1,70.2
2025-01-21 19:00,1.86,27.9,65.9
